"Tue: Jan 20","Flowshop: Open Jam","flow arts, meetup","Washington Hall (Seattle, WA)","6:30pm-9pm","free","All ages","Seattle Flow Arts Collective","https://www.facebook.com/events/1608760747101607/","","46042.7708333333"
"Tue: Jan 20","Listening Session: Mike Oldfield - Tubular Bells","experimental, electronic, progressive rock, listening","Shibuya Hi-Fi (Seattle, WA)","7:30pm-9pm","$24","21+","Shibuya Hi-Fi","https://www.shibuyahifi.com/event-details/mike-oldfield-tubular-bells","","46042.8125"
"Thu: Jan 22","Blunts & Blondes","dubstep, bass, trap","The Crocodile (Seattle, WA)","8pm","","21+","The Crocodile","https://www.ticketweb.com/event/blunts-blondes-the-crocodile-tickets/14723013","","46044.8333333333"
"Thu: Jan 22","Part Timers","house, tech house","Vice (Seattle, WA)","10pm","free w/rsvp","21+","The Reason Why","https://www.thereasonwhy206.org/guest-list","https://www.instagram.com/p/DTgWAZAkugN/","46044.9166666667"
"Fri: Jan 23","Wubby Things","dubstep, bass","The Chapel Lounge (Seattle, WA)","7pm-2am","$8+","21+","Mind Palace Entertainment","https://www.eventbrite.com/e/wubby-things-tickets-1978860544157?aff=19hz","","46045.7916666667"
"Fri: Jan 23","Listening Session: Joy Division - Unknown Pleasures","post-punk, goth, new wave, listening","Shibuya Hi-Fi (Seattle, WA)","7:30pm-9pm","$24","21+","Shibuya Hi-Fi","https://www.shibuyahifi.com/event-details/joy-division-unknown-pleasures","","46045.8125"
"Fri: Jan 23","Original Electronic Showcase Ft. Piranesii, Buhu, Unlucky Lucky, Fir","electronica, uk garage, bass","Vermillion Art Gallery and Bar (Seattle, WA)","8pm-1am","$10-15 donation","21+","Companion","https://www.facebook.com/events/2260467021030436/","","46045.8333333333"
"Fri: Jan 23","Listening Session: Odesza - The Last Goodbye","future bass, pop EDM, listening","Shibuya Hi-Fi (Seattle, WA)","9pm-10:30pm","$24","21+","Shibuya Hi-Fi","https://www.shibuyahifi.com/event-details/odesza-the-last-goodbye-4","","46045.875"
"Fri: Jan 23","In Praise of Shadows: Charles Hawthorne","house, disco","Level 1 at Cannonball Arts (Seattle, WA)","9pm-2am","$26+","21+","Level 1","https://wl.eventim.us/event/charles-hawthorne-theque-support-w-andy-ammo/674516","https://www.instagram.com/p/DSX7GKXgVFY/","46045.875"
"Fri: Jan 23","The House That She Built","tech house","Roam (Seattle, WA)","9pm-2am","free","21+","Roam","https://www.instagram.com/p/DTODvs8Eq6M/","https://www.instagram.com/roambarseattle/","46045.875"
"Fri: Jan 23","Heavy Rotation","techno","Mercury @ Machinewerks (Seattle, WA)","9pm-3am","$10 for members","21+","Selector Ill","https://www.facebook.com/events/4081573375388808/","","46045.875"
"Fri: Jan 23","Ape Drums, Eddel","dancehall, electronic","Substation (Seattle, WA)","10pm-2am","$20+","21+","Substation","https://www.eventbrite.com/e/ape-drums-tickets-1759175263569?aff=19hz","","46045.9166666667"
"Fri: Jan 23","DATA-CLUB","techno, breaks, club","Timbre Room (Seattle, WA)","10pm-2am","$6+","21+","DATA-CLUB","https://ra.co/events/2338279","https://data-club.net","46045.9166666667"
"Fri: Jan 23","Locked Groove","techno, hardgroove, club","Kremwerk (Seattle, WA)","10pm-2am","$12+","21+","Kremwerk","https://dice.fm/partner/tickets/event/eo3vaw-locked-groove-23rd-jan-kremwerk-complex-seattle-tickets","","46045.9166666667"
"Fri: Jan 23","Reaper","drum and bass, dancefloor","Substation (Seattle, WA)","10pm-2am","","21+","Substation","https://www.eventbrite.com/e/reaper-tickets-1966296254027?aff=19hz","","46045.9166666667"
"Fri: Jan 23","TDJ, Cult Member, No_4mat, Instantly","trance, progressive house, eurodance","Cherry (Seattle, WA)","10pm-2am","$18+","21+","Conflux","https://dice.fm/partner/tickets/event/eowx92-spf-infini-seattle-23rd-jan-kremwerk-complex-seattle-tickets","","46045.9166666667"
"Fri: Jan 23","Tom & Collins","house, tech house, afrohouse","Q Nightclub (Seattle, WA)","10pm-2am","","21+","Red Cube","https://www.tixr.com/groups/qnightclub/events/tom-collins-155604","https://www.facebook.com/events/748040344983885","46045.9166666667"
"Fri: Jan 23","Francois K","house, deep house","Monkey Loft (Seattle, WA)","10pm-4am","$18+","21+","OFF99","https://www.eventbrite.com/e/off99-presents-dance-music-legend-francois-k-tickets-1977107720414?aff=19hz","https://www.facebook.com/events/896386276388012/","46045.9166666667"
"Sat: Jan 24","Syrens: The Skylyne's All-Female DJ Team","dubstep, bass","The Modern (Seattle, WA)","6pm-11pm","$23","21+","Skylyne Events","https://www.eventbrite.com/e/syrens-the-skylynes-all-female-dj-team-the-modern-tickets-1979631218264?aff=19hz","","46046.75"
"Sat: Jan 24","Jogwheel Simulacra 002","acid, techno, hard electro, jungle, breaks","Cowen Park (Seattle, WA)","8pm-2am","notaflof","21+","Uncommon Fate","https://partiful.com/e/AJGnY5rCZ2XK8AFflvGE?c=MpU8FM3W","https://www.instagram.com/djsimswap/p/DSYddrYkv_B/","46046.8333333333"
"Sat: Jan 24","Ravefurrest x Impact 2","hardcore, hard dance, hyperpop","Cherry (Seattle, WA)","8pm-2am","$20-35","21+","Ravefurrest, Impact! Foundation","https://impactraves.org/events/ravefurrest-x-impact-2/","https://www.instagram.com/p/DS3AzTDjqTE/","46046.8333333333"
"Sat: Jan 24","Everything Must Go","house, tech house, deep house","TBA (Seattle, WA)","8pm-4am","$25","21+","Covert Bat","https://givebutter.com/FJVELi","","46046.8333333333"
"Sat: Jan 24","ALLEYCVT, Dennett, Tazu","dubstep, bass, EDM","Showbox SoDo (Seattle, WA)","9pm","","18+","Showbox","https://www.axs.com/uk/events/1157141/alleycvt-tickets?cid=19hz","","46046.875"
"Sat: Jan 24","Listening Session: Daft Punk - Discovery","house, disco, listening","Shibuya Hi-Fi (Seattle, WA)","9pm-10:30pm","$24","21+","Shibuya Hi-Fi","https://www.shibuyahifi.com/event-details/daft-punk-discovery-4","","46046.875"
"Sat: Jan 24","Fuego Latin Festival","house, tech house, latin","Pono Ranch (Seattle, WA)","9pm-1am","$13+","21+","Pono Ranch","https://events.lineleap.com/e/kyU9IWMGWGdXAjHNAA9i","","46046.875"
"Sat: Jan 24","Cell Injection (Drumcell X Truncate)","techno","Substation (Seattle, WA)","9pm-2am","$20+","21+","Routine, Depth","https://www.eventbrite.com/e/cell-injection-drumcell-x-truncate-tickets-1978432906080?aff=19hz","https://www.instagram.com/routineseattle/","46046.875"
"Sat: Jan 24","Club K-Pop","k-pop, k-EDM","Chop Suey (Seattle, WA)","9pm-2am","$13 / free w/rsvp before 10","21+","Chop Suey","https://www.ticketweb.com/event/club-k-pop-chop-suey-tickets/13968324","","46046.875"
"Sat: Jan 24","Club Vitesse: Eating Flowers","techno, hardgroove, hard house","Kremwerk (Seattle, WA)","9pm-2am","$15+","21+","Disco Fish","https://posh.vip/e/disco-fish-presents-eating-flowers?t=19hz","https://www.instagram.com/p/DTHPoMKCtJO/","46046.875"
"Sat: Jan 24","B Negative","darkwave, goth, industrial","Mercury @ Machinewerks (Seattle, WA)","9pm-3am","$10 for members","21+","DJ Hana Solo","https://www.facebook.com/events/2116710795742724/","","46046.875"
"Sat: Jan 24","Boots 'N Beats","country, EDM","Neumos (Seattle, WA)","9:30pm-2am","$28+","21+","Neumos","https://www.axs.com/events/1137180/boots-n-beats-tickets?cid=19hz","","46046.8958333333"
"Sat: Jan 24","Dew Drop","leftfield, experimental, club","Massive (Seattle, WA)","10pm","$15+","21+","Massive","https://www.tixr.com/groups/massive/events/dew-drop-170969","","46046.9166666667"
"Sat: Jan 24","AfroRave","afrobeats","Ohm Nightclub (Seattle, WA)","10pm-2am","$13+","21+","Afro Live Jam Sessions","https://www.eventbrite.com/e/afro-live-rave-tickets-1980234785550?aff=19hz","https://www.instagram.com/p/DTWrgglCixx/","46046.9166666667"
"Sat: Jan 24","Black V Neck","tech house","Ora (Seattle, WA)","10pm-2am","$19-27","21+","Ora Seattle","https://tickets.oraseattle.com/e/black-v-neck-at-ora/tickets","https://www.facebook.com/events/785648394495937/","46046.9166666667"
"Sat: Jan 24","Club CTRL: Qemist","house, techno, club","Timbre Room (Seattle, WA)","10pm-2am","$18+","21+","Kremwerk","https://dice.fm/event/8e83q5-club-ctrl-ft-qemist-24th-jan-kremwerk-complex-seattle-tickets","","46046.9166666667"
"Sat: Jan 24","Costa","house, tech house","Roam (Seattle, WA)","10pm-2am","free","21+","Veta Vitali","https://www.instagram.com/p/DTL9xoSEvIL/","https://www.instagram.com/roambarseattle/","46046.9166666667"
"Sat: Jan 24","Kittin","electroclash, gay","Massive (Seattle, WA)","10pm-2am","$16.03","21+","","https://www.tixr.com/groups/massive/events/kittin-miss-kittin-dj-set--173061","","46046.9166666667"
"Sat: Jan 24","Nikita, The Wicked","dubstep, bass","Q Nightclub (Seattle, WA)","10pm-2am","","21+","Red Cube","https://www.tixr.com/groups/qnightclub/events/nikita-the-wicked-152909","","46046.9166666667"
"Sat: Jan 24","Xotix","dubstep, bass","Substation (Seattle, WA)","10pm-2am","$26+","21+","Substation","https://www.eventbrite.com/e/xotix-tickets-1866927373029?aff=19hz","","46046.9166666667"
"Sat: Jan 24","Dew Drop","dancehall, ethereal, experimental","Massive (Seattle, WA)","10pm-3am","$15 pre / $20","21+","Massive","https://www.tixr.com/groups/massive/events/dew-drop-170969","","46046.9166666667"
"Sat: Jan 24","Oasis","progressive house, melodic techno","Monkey Loft (Seattle, WA)","10pm-4am","$14+","21+","Oasis Seattle","https://www.eventbrite.com/e/oasis-monkey-loft-tickets-1979690104394?aff=19hz","https://www.facebook.com/events/886987940682280/","46046.9166666667"
"Sat: Jan 24","TZK 3 Year Anniversary: Dan Dara","jungle, drum and bass, bass, breaks","TBA (Seattle, WA)","11pm-5am","$25","21+","Time Zone Kru","https://www.facebook.com/events/4270740483166835","","46046.9583333333"
"Sun: Jan 25","Eastside Spin Jam","flow arts, meetup","Crossroads Community Center (Belleville)","1pm-3pm","free","All ages","Seattle Flow Arts Collective","https://www.facebook.com/events/1212036184107125/","","46047.5416666667"
"Sun: Jan 25","Reverie Society: Sunday Service by Restless Planet","house, deep house, tech house","Monkey Loft (Seattle, WA)","2pm-8pm","$15+","21+","Viva Recordings, Uniting Souls, Shameless","https://www.eventbrite.com/e/reverie-society-sunday-service-by-restless-planet-january-25th-2026-tickets-1979092622309?aff=19hz","https://www.facebook.com/events/887540690516458/","46047.5833333333"
"Mon: Jan 26","10ae","techno","Mercury @ Machinewerks (Seattle, WA)","9pm-2am","free for members / $5 for guests","21+","Tenth Aesthetic","https://www.facebook.com/events/909383864863793/","","46048.875"
"Tue: Jan 27","Austra","electronic, indie","Madame Lou's (Seattle, WA)","6:30pm","","21+","The Crocodile","https://www.ticketweb.com/event/austra-madame-lous-tickets/14540633","","46049.7708333333"
"Tue: Jan 27","Flowshop: Open Jam (Masks Required)","flow arts, meetup, masked","Washington Hall (Seattle, WA)","6:30pm-9pm","free","All ages","Seattle Flow Arts Collective","https://www.facebook.com/events/1903225637071114/","","46049.7708333333"
"Tue: Jan 27","DJs in a Dive Bar: Kuzco","house, techno, open decks","Blue Moon Tavern (Seattle, WA)","7pm","free","21+","Brit Jean","https://www.instagram.com/p/DTPLj0MFdaD/","https://www.instagram.com/DJsinaDiveBar","46049.7916666667"
"Tue: Jan 27","Modbang","techno, hardware, live","The 4Bs (Seattle)","7pm","free","21+","Modbang","https://www.instagram.com/p/DTwma-YDgFD/","https://www.instagram.com/modbang_official","46049.7916666667"
"Tue: Jan 27","Austra, Colin Self","synthpop, new wave","The Crocodile (Seattle, WA)","8pm","$44","21+","The Crocodile","https://www.ticketweb.com/event/austra-colin-self-the-crocodile-tickets/14540633","","46049.8333333333"
"Wed: Jan 28","Women Crush Wednesday","house, tech house","Time Warp (Seattle, WA)","8pm-11pm","$5","21+","Support Women DJs Seattle","https://partiful.com/e/V3AVe52QC9RepUUq1K0z","https://www.instagram.com/p/DTlOBpPkcTG/","46050.8333333333"
"Wed: Jan 28","Listening Session: Radiohead - In Rainbows","electronic, indie, listening","Shibuya Hi-Fi (Seattle, WA)","8pm-9:30pm","$24","21+","Shibuya Hi-Fi","https://www.shibuyahifi.com/event-details/radiohead-in-rainbows-3","","46050.8333333333"
"Thu: Jan 29","Dual Frequency: Second Edition","tech house, techno","Baila Bar (Seattle, WA)","9pm-2am","$10+","21+","Dual Frequency","https://posh.vip/e/dual-frequency-second-edition?aff=19hz","https://www.instagram.com/p/DTEZ2j4ATh5/","46051.875"
"Thu: Jan 29","Heavy Artillery 4","drum and bass","Chop Suey (Seattle, WA)","9pm-2am","$13+","21+","Baastik","https://www.ticketweb.com/event/heavy-artillery-chop-suey-tickets/14020464","https://www.instagram.com/p/DS5hHcJkrgJ/","46051.875"
"Thu: Jan 29","Dr. Gabba","house, breaks, acid, vgm","Substation (Seattle, WA)","10pm-2am","$20+","21+","Substation","https://www.eventbrite.com/e/dr-gabba-tickets-1967839267221?aff=19hz","https://www.instagram.com/p/DSagHbVlLP4","46051.9166666667"
