"Mon: Jan 26","Mo, Casey Mq","electropop, synthpop","Fonda Theatre (Los Angeles)","9pm","$43-142","All ages","Goldenvoice","https://www.axs.com/events/1093120/m-tickets","","46048.875"
"Mon: Jan 26","Nightshift After Hours","tech house, minimal","TBA (DTLA/Los Angeles)","11pm-5am","free w/rsvp b4 1 / $10-30","21+","Blind Tiger","https://shotgun.live/en/events/nightshift-afterhours-497","https://www.instagram.com/blindtiger.la/","46048.9583333333"
"Tue: Jan 27","Glaive","indie, pop, trap, EDM","Fonda Theatre (Los Angeles)","8pm","$39+","All ages","Goldenvoice","https://www.axs.com/events/1150113/glaive-tickets?cid=afffboea","https://www.facebook.com/events/1319469679963839/","46049.8333333333"
"Tue: Jan 27","Mo","electropop, synthpop","Music Box (San Diego)","8pm","$41-162","18+","","https://www.ticketweb.com/event/m-plygirl-world-music-box-tickets/13925384?pl=musicboxsd","","46049.8333333333"
"Tue: Jan 27","Nightshift After Hours","tech house, minimal","TBA (DTLA/Los Angeles)","11pm-5am","free w/rsvp b4 1 / $10-30","21+","Blind Tiger","https://shotgun.live/en/events/nightshift-afterhours-498","https://www.instagram.com/blindtiger.la/","46049.9583333333"
"Wed: Jan 28","Miras Va - Album Listening Party, Industry Panel, Mixer, Q&A","techno","Agora Records (Los Angeles)","7pm","$5","21+","Hidden Symbols Records","https://ra.co/events/2329352","https://www.instagram.com/hddnsymbls/","46050.7916666667"
"Wed: Jan 28","Listening Session: Rave Into The Future By Cukurcuma Collective","experimental, ambient","526 E 12th St (Los Angeles)","7pm-9pm","free","21+","Canary Sound Werk","https://ra.co/events/2351457","","46050.7916666667"
"Wed: Jan 28","Dance Klassique Ft Cranberry, Megalina and Gomez","house","The Officebarsd (San Diego)","9pm","free w/rsvp b4 10pm / $5","21+","","https://www.facebook.com/events/s/dance-klassique-ft-cranberry-m/2238257759997184/","","46050.875"
"Wed: Jan 28","Lundi Bleu Grammy's Party","house, electro, nu-disco","The Little Friend (Venice/Los Angeles)","9pm-1am","free","21+","Black Box America","https://ra.co/events/2343629","","46050.875"
"Wed: Jan 28","Mischief Wednesdays!","EDM, hip-hop","Rich's (San Diego)","10pm","free","21+","","https://prod-nts-api.seeticketsusa.us/v1.0.0/promote/6309714b-c224-4b4d-8187-a152ebdc163e/clickthru","https://www.facebook.com/events/33604676005814427/","46050.9166666667"
"Wed: Jan 28","Nightshift After Hours","tech house, minimal","TBA (DTLA/Los Angeles)","11pm-5am","free w/rsvp b4 1 / $10-30","21+","Blind Tiger","https://shotgun.live/en/events/nightshift-afterhours-499","https://www.instagram.com/blindtiger.la/","46050.9583333333"
"Thu: Jan 29","A Century In Sound: Film Premiere + Questlove, Kunihiko Murai, Zach Cowie","filmscore, ambient","Japanese American Cultural & Community Center (Los Angeles)","6:30pm-9:30pm","","","Dublab","https://jaccc.org/events/the-north-american-premiere-of-a-century-in-sound/","","46051.7708333333"
"Thu: Jan 29","Aluna, Kaleena Zanders & Sidepiece","tech house","TBA (Los Angeles)","7pm-10:30pm","free w/rsvp","21+","Beatport Live","https://drop.cobrand.com/d/Beatport/jan29","","46051.7916666667"
"Thu: Jan 29","Wonkywilla - Galactic Circus Tour w/ Hershe & Overeazy","dubstep, bass music","Music Box (San Diego)","8pm","$33+","21+","","https://www.ticketweb.com/event/wonkywilla-galactic-circus-music-box-tickets/14601003","","46051.8333333333"
"Thu: Jan 29","Maral, Mary Sea Angeles","world club, dreampop, experimental, drone","Healing Force Of The Universe (Pasadena/Los Angeles)","8pm-11pm","$17","21+","","https://dice.fm/event/xe2bbm-maral-mary-sea-angeles-29th-jan-healing-force-of-the-universe-pasadena-tickets","","46051.8333333333"
"Thu: Jan 29","True House Thursdays","house","The Circle OC (Huntington Beach)","9pm","free w/rsvp / $7","18+","The Circle OC and True House LA","https://www.eventbrite.com/e/true-house-tickets-1980679174730","https://www.instagram.com/truehousethursdays/","46051.875"
"Thu: Jan 29","Bassland ","dubstep, bass music","Banana Bay Restaurant (Rowland Heights)","9pm-12am","free","All ages","The Illusion Night","https://www.eventbrite.com/e/bassland-january-29th-2026-warning-extreme-bass-levels-ahead-tickets-1979205902132","","46051.875"
