"Mon: Jan 26","Re:Mixed Mondays","house","Jimmy Valentine's Lonely Hearts Club (Washington, DC)","10pm-1:30am","free","21+","","https://ra.co/events/2337043","","46048.9166666667"
"Wed: Jan 28","Transit - A Starry Nyte To Remember","drum and bass, house, breaks, uk garage, tech house, techno","The Auld Shebeen (Fairfax, VA)","9pm-1:30am","free","21+","Give Productions","https://www.facebook.com/events/977268775337635/","","46050.875"
"Thu: Jan 29","Level Up Ft Wolfemayne, White Girl Wasted, Cellus","dubstep, bass music, house, big room, EDM","Agave 137 Tequila Bar & Kitchen (Frederick, MD)","9:30pm","free","21+","Hiscore","https://www.facebook.com/events/845111441882519/","","46051.8958333333"
"Fri: Jan 30","Bridget","","Loso (Richmond, VA)","8pm","$11+","21+","","https://shotgun.live/en/events/bridget-1-30","","46052.8333333333"
"Fri: Jan 30","Poke-Rave","","Soundstage (Baltimore, MD)","8pm","$14+","18+","Hiscore","https://www.ticketmaster.com/event/15006350A9107FAD","https://www.facebook.com/events/786762290630653/","46052.8333333333"
"Fri: Jan 30","Road To Northern Northern Invasion","","Karma (Washington, DC)","8pm-3am","$40+","21+","The Industry Vault","https://posh.vip/e/on-the-road-to-northern-northern-invasion","","46052.8333333333"
"Fri: Jan 30","Nu Androids Presents: Taiki Nulight","","Culture (Washington, DC)","10pm","$28+","21+","","https://shotgun.live/en/events/nu-androids-presents-taiki-nulight","","46052.9166666667"
"Fri: Jan 30","Two Friends","","Echostage (Washington, DC)","10pm","$70+","18+","","https://www.ticketmaster.com/event/150063839C217334","","46052.9166666667"
"Fri: Jan 30","Luv.202: Permafrost","techno, club","Transmission (Washington, DC)","10pm-3am","$7+","21+","Luv.202, 618 Productions","https://ra.co/events/2330838","","46052.9166666667"
"Fri: Jan 30","Omri.","","Flash (Washington, DC)","10pm-4am","$11+","21+","","https://shotgun.live/en/events/omri","","46052.9166666667"
"Fri: Jan 30","Maedon/Bastet","techno","Club 1722 (Baltimore, MD)","11:59pm-5am","$10+","21+","Unfold.Balt","https://ra.co/events/2341401","","46052.9993055556"
"Sat: Jan 31","Danny Daze","","Loso (Richmond, VA)","8pm","$11+","21+","","https://shotgun.live/en/events/danny-daze","","46053.8333333333"
"Sat: Jan 31","Digital Xscape x 140+: TBA","","Transmission (Washington, DC)","9pm","$20+","18+","","https://ra.co/events/2324648","","46053.875"
"Sat: Jan 31","6 Lack - DJ Quicksliva - DJ Express","","Throw Social (Washington, DC)","9pm-4am","$45+","18+","Throwsocialdc","https://ra.co/events/2344727","https://www.throwsocialdc.com/","46053.875"
"Sat: Jan 31","Disclosure vs. Fred Again.. Tribute Dance Party","","Union Stage (Washington, DC)","10pm-2am","$21+","18+","","https://www.unionstagepresents.com/shows/disclosure-vs-fred-again-tribute-dance-party-31-jan","https://www.unionstagepresents.com/shows/disclosure-vs-fred-again-tribute-dance-party-31-jan","46053.9166666667"
"Sat: Jan 31","Offstage Presents: Test Press - A Record Store Rave","tech house, minimal","The Sound Garden (Baltimore, MD)","10pm-2am","$24 pre","21+","Offstage Sessions","https://posh.vip/f/54965?t=19hz","","46053.9166666667"
"Sat: Jan 31","La Mosaique: Revelation","","El Secreto De Rosita (Washington, DC)","10pm-3am","$15+","21+","","https://ra.co/events/2346130","","46053.9166666667"
"Sat: Jan 31","Stacey Pullen","tech house","Flash (Washington, DC)","10pm-4am","$11+","21+","","https://shotgun.live/en/events/staceypullen","https://shotgun.live/events/staceypullen","46053.9166666667"
"Sat: Jan 31","Nu Androids Presents: Apache","afro house, progressive house","Vera Cocina (Washington, DC)","11:30pm-3am","$34+","21+","","https://shotgun.live/en/events/apache0131","","46053.9791666667"
"Sat: Jan 31","Gunpoint w/ Royalflu$H","","Chop Shop (Washington, DC)","11:45pm-6am","$29+","21+","1437Club","https://posh.vip/e/gunpoint-w-royalfluh","","46053.9895833333"
"Sun: Feb 1","Takeoff: A Coffee Shop Rave (Transit Collab)","","Coffee Republic (Arlington, VA)","2pm-7pm","free","All ages","Transit (Give Productions)","https://www.eventbrite.com/e/takeoff-a-coffee-shop-rave-tickets-1978461554769","https://www.facebook.com/events/1352081683629100/","46054.5833333333"
"Sun: Feb 1","Fox Stevenson","","Black Cat (Washington, DC)","7:30pm","$30+","All Ages","","https://www.etix.com/ticket/p/34075168","","46054.8125"
